Major,Major_Classes,course-heading,Field1_link,Credits,Course Description,Additional Information
Accounting,https://spu.edu/undergraduate-time-schedule/subjects/ACCT?,,,,,
Anthropology,https://spu.edu/undergraduate-time-schedule/subjects/ANT?,"ANT 2250: Cultural Anthropology
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=ca2bb87cd0de5bef1a63f2d744e9be9f&subj=ANT&crse_numb=2250&start_term=&end_term=&term_year=20234,5,"Focuses upon the comparative study of human cultures: technological, economical, social, political, and religious systems, with examples drawn from selected cultures of the world.","Add to calendar
                
                 
                
                
                
                
                
                
                    Attributes: Cultural Understand&Engagement, WK Social Sciences
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Anthropology,https://spu.edu/undergraduate-time-schedule/subjects/ANT?,"ANT 3000: Introduction to Biological Anthropology
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=54a8932843216546d15f53196fb0b992&subj=ANT&crse_numb=3000&start_term=&end_term=&term_year=20234,5,"Introduces basic principles for understanding humans from a biological perspective. This course is a comprehensive introduction to the field of biological anthropology. Explores topics of human and non-human primate genetics, behavior, and evolution, as well as human ecology and medical anthropology. Typically offered: Autumn.","Add to calendar
                
                 
                
                    Restrictions: Freshman, Sophomore students are excluded.
                
                
                
                    Equivalent: BIO 3000
                
                
                
                    Crosslisted with: BIO 3000 CRN: 35
                
                
                    Attributes: Writing ""W"" Course, Upper-Division, Cultural Understand&Engagement, Ways of Engaging
                
                
                    Grade Modes: (Default) Normal Grading
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: BIO 1101: C- or betterOR BIO 1103: C- or betterOR BIO 2103: C- or betterOR BIO 2570: C- or better"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 1102: Drawing Studio: Observation and Realism
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=58301bb7bfbba5da1fbc797a3e24ce4b&subj=ART&crse_numb=1102&start_term=&end_term=&term_year=20234,5,"Emphasizes building perceptual skills for observational drawing of still life, interiors, and the human form. Covers techniques such as contour drawing, sighting techniques, perspective, value, light logic and approaches to portraiture. Investigates assumptions, methods, and skills unique to the discipline and focuses on creating, responding to, and analyzing artworks. Designed for intended art majors or minors or others with previous drawing experience. Typically offered: Autumn, Spring, Winter.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $150 
                
                
                
                
                
                
                
                    Attributes: WK Arts
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Summer Part B"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 1105: Art Foundations 1: Surface
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=f1ea857b23c3a8483604d898c2275c90&subj=ART&crse_numb=1105&start_term=&end_term=&term_year=20234,5,"Applies the elements and principles of visual arts and design to two-dimensional projects in a variety of media emphasizing practical design problems. Emphasizes two-dimensional design using digital tools, theoretical development, and vocational exploration in the visual arts.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $75 
                
                
                    Restrictions: Art, Art History and Visual Studies, Art-INT, Illustration, Info Studies: Art, Info Studies: ArtHis/VisStud, Info Studies: Visual Comm, Integrated Studies, Interactive Comp & Art, Music and Worship Arts, Soc Justice/Cultural Studies, Studio Arts: 2-D Media, Studio Arts: 3-D, Studio Arts: Digital Media, Visual Arts, Visual Communication, Visual Communication-INT, Worship and The Arts Majors, Minors, Concentrations only.
                
                
                
                
                
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 1106: Art Foundations 2: Space
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=f05945ba9545938e25821fcdf77711e5&subj=ART&crse_numb=1106&start_term=&end_term=&term_year=20234,5,Applies the elements and principles of visual arts and design to three-dimensional projects in a variety of media emphasizing practical design problems. Emphasizes three-dimensional design.   Fee(s): Art Course Fee,"Add to calendar
                
                 
                    Fees: Art Course Fee: $75 
                
                
                    Restrictions: Art, Art History and Visual Studies, Art for Social Change, Art-INT, Illustration, Illustration-INT, Info Studies: Art, Integrated Studies, Interactive Comp & Art, The Arts, Visual Arts, Visual Communication, Visual Communication-INT Majors, Minors, Concentrations only.
                
                
                
                
                
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 1107: Art Foundations 3: Time
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=5ce5e0a627ed5ebd7d499bffb07de5ec&subj=ART&crse_numb=1107&start_term=&end_term=&term_year=20234,5,Applies the elements and principles of visual arts and design to time based and digital projects in a variety of media emphasizing practical design problems. Emphasizes time based and digital design.   Fee(s): Art Course Fee,"Add to calendar
                
                 
                    Fees: Art Course Fee: $25 
                
                
                    Restrictions: Art, Art History and Visual Studies, Art-INT, Film Studies, Illustration, Illustration-INT, Info Studies: Art, Info Studies: ArtHis/VisStud, Info Studies: General, Info Studies: Visual Comm, Integrated Studies, Interactive Comp & Art, Music and Worship Arts, Photography / Digital Media, Soc Justice/Cultural Studies, Studio Arts, Studio Arts: 2-D Media, Studio Arts: 3-D, Studio Arts: Digital Media, Visual Arts, Visual Communication, Visual Communication-INT Majors, Minors, Concentrations only.
                
                
                
                
                
                
                
                    Grade Modes: (Default) Normal Grading
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 1180: Understanding Visual Art and Design
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=6345e6718c5e1ec47fbc4dfe8569329d&subj=ART&crse_numb=1180&start_term=&end_term=&term_year=20234,5,"Introduces and analyzes visual art and design forms and expands an appreciation of visual culture through lecture, observation, and discussion. The nature of the visual arts is explored from the vantage points of the artist and viewer/critic. Investigates assumptions, methodologies, and skills unique to the discipline and focuses on creating, responding to, and analyzing artworks. Off campus travel to various art locations may be required for this course. Typically offered: Autumn, Spring, Winter.","Add to calendar
                
                 
                
                
                
                
                
                
                    Attributes: WK Arts
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Online
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 1205: Color Studio
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=18aedc88450f0dfd3b66ae3f6dbcf900&subj=ART&crse_numb=1205&start_term=&end_term=&term_year=20234,5,"The aim of this course is to teach students basic and advanced levels of color theory. Students will learn about the vocabulary of color, history of color theory, basics of color physics, and be introduced to the communicative and psychological effects of color. CMYK and RGB color formulas for print and web media will be introduced. Students will work with both paint and computer systems. Designed for intended art majors or minors.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $100 
                
                
                
                
                
                
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 2102: Drawing Studio: Design and Perspective
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=eeff6080ad0e4703e633dd04f4ac1d0f&subj=ART&crse_numb=2102&start_term=&end_term=&term_year=20234,5,"Provides a rigorous introduction to, and in-depth exploration of, design drawing systems that simulate 3D space. Techniques covered are used by artists, designers, and illustrators and include: orthographic projection, paralline drawing, and linear perspective.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $20 
                
                
                    Restrictions: Art, Art-INT, Clothing and Textiles, Illustration, Illustration-INT, Interior Design, Visual Arts, Visual Communication, Visual Communication-INT majors only.
                
                
                
                
                
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 2201: Digital Lab 1: Introduction to Interactive Media
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=265ba5480bd51feb5b79c6e8d0a8163e&subj=ART&crse_numb=2201&start_term=&end_term=&term_year=20234,3,"Introduction to interactive media and user-centered design technologies, theories, research and methodologies.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $25 
                
                
                    Restrictions: Visual Communication, Visual Communication-INT majors only.
                
                
                
                
                
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 2302: Painting Studio: Observation and Realism
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=5a6928deaa2da0cbb44903ab2b7c6c2f&subj=ART&crse_numb=2302&start_term=&end_term=&term_year=20234,5,Emphasizes rendering and modeling techniques in various paint media to create representational images. Focuses on volume of primary forms and color theories.   Fee(s): Art Course Fee,"Add to calendar
                
                 
                    Fees: Art Course Fee: $200 
                
                
                
                
                
                
                
                    Attributes: WK Arts
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 2205: Photography
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=e77b7cff0291407a9181e0e235282819&subj=ART&crse_numb=2205&start_term=&end_term=&term_year=20234,5,"Exploration of traditional and digital methods of capturing images for refinement, manipulation, or reference.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $25 
                
                
                
                
                
                
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ART 1107: C- or better"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 2422: Metals Studio
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=c9c11196460c91ce1f79667625929e96&subj=ART&crse_numb=2422&start_term=&end_term=&term_year=20234,5,"Teaches the raising, soldering, and forging of metals into utensils and decorative forms such as jewelry. Emphasizes fabrication. Investigates assumptions, methodologies, and skills unique to the discipline, and focuses on creating, responding to, and analyzing artworks.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $200 
                
                
                
                
                
                
                    Crosslisted with: ART 3422 CRN: 833, ART 4422 CRN: 832
                
                
                    Attributes: WK Arts
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 2502: Illustration: New Pictures
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=6bbbf7a57af6fe61ebb850dc7dd849c6&subj=ART&crse_numb=2502&start_term=&end_term=&term_year=20234,5,"Illustration: New Pictures will focus on generating imagery that strongly emphasizes conceptual problem-solving approaches to art making. Students will be challenged with a series of projects that simulate the conditions of real-world illustration assignments. A variety of artistic approaches and mediums are welcomed in this class including photography, fine art, sculpture, painting, drawing, and digital media. Students are free to use this class to experiment or focus on creating finished work for their portfolio. Some previous drawing is recommended but not necessary.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $90 
                
                
                
                
                
                
                
                
                    Grade Modes: (Default) Normal Grading
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ART 1105: C- or better"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 2602: Monuments of World Art I
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=3658ac567bf5eec006fcbba301593a28&subj=ART&crse_numb=2602&start_term=&end_term=&term_year=20234,5,"To understand twenty-first-century visual culture, we must understand where it came from. This survey course treats global art and visual culture until the year 1300. Themes include art and politics, art and religion, ideals of beauty and the nature of artistic process. Typically offered: Autumn, Winter.","Add to calendar
                
                 
                
                
                
                
                
                
                    Attributes: WK Arts
                
                
                    Grade Modes: (Default) Normal with N, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 2603: Monuments of World Art II
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=5474d31e17676ac96d00b634bb7921ad&subj=ART&crse_numb=2603&start_term=&end_term=&term_year=20234,5,"To understand twenty-first-century visual culture, we must understand where it came from. This survey course treats global art and visual culture since the year 1300. Themes include art and politics, art and religion, ideals of beauty and the nature of artistic process. Typically offered: Spring, Winter.","Add to calendar
                
                 
                
                
                
                
                
                
                    Attributes: WK Arts
                
                
                    Grade Modes: (Default) Normal with N, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 3113: Drawing Studio: Figure
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=9142e0dd011515ca2101830e4566ec24&subj=ART&crse_numb=3113&start_term=&end_term=&term_year=20234,5,"Provides exposure to figure drawing for students who want to develop sound drawing and observational skills in life drawing. Stresses composition and lighting, as well as conceptual approaches to the use of the figure in visual art. May be repeated for credit 1 time.  Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $90 
                
                
                    Restrictions: Apparel Design, Art, Costume Design, Illustration, Illustration-INT, Interior Design, Visual Arts Majors, Minors, Concentrations only.  Freshman students are excluded.
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ART 1102: C- or betterOR ART 1105: C- or betterOR ART 1106: C- or betterOR ART 1107: C- or better"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 3200: Type Lab: Introduction to Typography
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=1619fe29ac20f31b574af8c33f880653&subj=ART&crse_numb=3200&start_term=&end_term=&term_year=20234,3,"Introduces the communicative, symbolic and associative aspects of typography. Emphasizes the strategic use of typography as a primary design element.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $25 
                
                
                    Restrictions: Art, Illustration, Illustration-INT, Studio Arts, Visual Communication Majors, Minors, Concentrations only.
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 3201: Digital Lab 2: Interactive Media
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=1694cd33b1c8cfdf2afd09a8a7bc7f65&subj=ART&crse_numb=3201&start_term=&end_term=&term_year=20234,5,"Students learn the tools, processes, and strategies for time-based media. Concentration on fundamental properties of the electronic environment, along with development of appropriate skill base.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $25 
                
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 3202: Visual Communication I: Form
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=3729deac9b247d9f296594373bb2d5b1&subj=ART&crse_numb=3202&start_term=&end_term=&term_year=20234,5,"Exploration of creative ideas, resources, digital processes, media, and terminology in the development of visual communication solutions.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $20 
                
                
                    Restrictions: Visual Communication majors only.
                
                
                    Approval: Department Coordinator
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 3204: Visual Communication 2: Application
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=b217f3390641100051e173b9e1f510b1&subj=ART&crse_numb=3204&start_term=&end_term=&term_year=20234,5,"Advanced exploration of visual communication terminology, processes and methods of application.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $25 
                
                
                    Restrictions: Visual Communication majors only.  Freshman, Sophomore students are excluded.
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 3205: Type Lab: Applied Typography
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=8da77bb5d17a8e077196e4d9f4d34102&subj=ART&crse_numb=3205&start_term=&end_term=&term_year=20234,3,Teaches advanced application of typographic systems to both static and moving communication media.   Fee(s): Art Course Fee,"Add to calendar
                
                 
                    Fees: Art Course Fee: $25 
                
                
                    Restrictions: Visual Communication majors only.  Freshman, Sophomore students are excluded.
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 3302: Painting Studio: Expressive Painting
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=6632c7d061ab93ce60f793d3e331774f&subj=ART&crse_numb=3302&start_term=&end_term=&term_year=20234,3,"Explores painting as a form of expressive art making, with an emphasis on exploring history of the discipline and placing student’s work in the context of contemporary art. A variety of media will be explored with a focus on materials, process and experimental approaches. Typically offered: Occasionally.   Fee(s): Art Course Fee","Add to calendar
                
                 
                    Fees: Art Course Fee: $200 
                
                
                    Restrictions: Freshman students are excluded.
                
                
                
                
                
                    Crosslisted with: ART 4302 CRN: 21521
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ART 1105: C- or betterOR ART 1106: C- or betterOR ART 1107: C- or better"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 3101: Photography 2
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=77747acc79f990b2b72f645afa2e2b3b&subj=ART&crse_numb=3101&start_term=&end_term=&term_year=20234,5,This course explores advanced digital photography techniques with an emphasis on studio lighting techniques for both interior and exterior environments. Students will be asked to explore a range of photographic themes and concepts in route to personal portfolio development and creation. Formerly: Digital Photography 2   Fee(s): Art Course Fee,"Add to calendar
                
                 
                    Fees: Art Course Fee: $60 
                
                
                
                
                
                
                    Crosslisted with: ART 4101 CRN: 21522
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading, Audit
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ART 2205: C- or better"
Art,https://spu.edu/undergraduate-time-schedule/subjects/ART?,"ART 3303: Painting Studio: Figure
                    Course details",https://spu.edu/undergraduate-time-schedule/detail?cid=23d26acc0ce153694b756134efe3d36d&subj=ART&crse_numb=3303&start_term=&end_term=&term_year=20234,3,Explores the development of accurate proportion and structure of the human figure in paint by focusing on light and its application to the human form. Also examines the study of color and value. May be repeated for credit 1 time.  Fee(s): Art Course Fee,"Add to calendar
                
                 
                    Fees: Art Course Fee: $80 
                
                
                    Restrictions: Freshman students are excluded.
                
                
                
                
                
                
                    Attributes: Upper-Division
                
                
                    Grade Modes: (Default) Normal Grading
                
                
                    Instructional Methods: Traditional
                
                
                    Note: Full Term
                
                
                
                    
                    Prerequisites: ART 1102: C- or better"
